"id","text"
29725,"Taking deep breaths that filled his nostrils with the tang of salt and seaweed, he struck out for the shimmering, shrinking light now moving deeper into the cliff."
29724,"The water was icy; Harry's waterlogged clothes billowed around him and weighed him down."
29700,"A minute later they turned the corner into the side street where the Hog's Head's sign creaked a little, though there was no breeze."
29654,"It was as difficult to stop his relentless pacing as to refrain from shouting."
29639,"She looked alarmed as he ran past her, round the corner into Dumbledore's corridor, where the lone gargoyle stood sentry."
29569,"You'd think people had better things to gossip about,' said Ginny, as she sat on the common-room floor, leaning against Harry's legs and reading the Daily Prophet."
29483,"Ron was standing at the top of the stairs, looking bewildered at , the sight of Harry."
29476,"He felt stunned; it was as though a beloved pet had turned suddenly savage; what had the Prince been thinking to copy such a spell into his book?"
29425,"Somehow, the game had become inextricably linked in Harry's mind with success or failure in his plans for Ginny."
29413,"Yet Harry could not help himself talking to Ginny, laughing with her, walking back from practice with her; however much his conscience ached, he found himself wondering how best to get her on her own."
29334,"After an interval of some years, however, he used Nagini to kill an old Muggle man, and it might then have occurred to him to turn her into his last Horcrux."
29330,"He believed that in killing you, he was destroying the danger the prophecy had outlined."
29315,"However, a withered hand does not seem an unreasonable exchange for a sev-enth of Voldemort's soul."
29229,"He put his other hand inside his cloak and took out a small, empty bottle."
29199,"He refilled Hagrid's mug and his own, and questioned him about the creatures that lived in the forest these days and how Hagrid was able to look after them all."
29160,"If the beast only just died it might not yet have dried out. . . ."
29143,"His feeling of elation in-creasing, Harry strode off through the castle."
29086,"Harry's heart sank as he took the small scroll of parchment."
29064,"It gave Harry a most agreeable feeling of power as he tried to remember what form of words he had not yet tried."
29052,"Twice, Harry had gone to his office and knocked, but received no reply, though on the second occasion he was sure he had heard the quickly stifled sounds of an old gramophone."
29050,"However, he had decided to use the time to attempt another assault on the Room of Requirement."
28964,"Harry was still burning with curiosity and even though Dumbledore had walked to the door and was holding it open for him, he did not move at once."
28899,"Harry edged forward a little to get a better view and saw what looked like a small golden cup with two finely wrought handles."
28835,"The gargoyle leapt aside at the mention of toffee eclairs, and Harry took the spiral staircase two steps at a time, knocking on the door just as a clock within chimed eight."
28802,"That had been his most painful injury by far ... he remembered the agony of regrowing an armful of bones in one night, a discomfort not eased by the arrival of an unexpected visitor in the middle of the  - Harry sat bolt upright, his heart pounding, his bandage turban askew."
28746,"And speaking of getting shot of people,"" Harry added, getting to his feet and picking up his Firebolt, ""will you stop pretending to be asleep when Lavender comes to see you?"
28704,"I never said tha',"" said Hagrid, though his look of panic could not have been a bigger giveaway."
28637,"Ron yelled as his heel was wrenched upwards once more; he dangled helplessly, upside-down, his robes hanging off him."
28626,"Friends they might be, but if Ron started calling Lavender 'Lav-Lav', he would have to pui his foot down."
28595,"He had found it, a folded square of apparently blank parchment, which he now smoothed out and tapped with [he tip of his wand."
28496,"Hermione's expression could not have been any smugger; she had loathed being out-performed in every Potions class."
28406,"For a few seconds they looked at each other, then the man staggered upright, the many empty bottles at his feet clattering and tinkling across the floor."
28372,"He was placed in Slytherin House almost the moment that the Sorting Hat touched his head,"" continued Dumbledore, waving his blackened hand toward the shelf over his head where the Sorting Hat sat, ancient and unmoving."
28371,"You will remember how excited he was to hear that he was a wizard, that he refused my company on a trip to Diagon Alley, and that I, in turn, warned him against continued thievery when he arrived at school."
28337,"Without a word, Hermione sped up to walk with Neville."
28316,"When Ginny had arrived, all three of them trooped out of McGonagall's office and off toward Gryffindor Tower."
28315,"Harry straightened his glasses and flattened his hair as Ron came spinning into view."
28300,"There, shining white on the back of his cold hand, were the scars which Dolores Umbridge had forced him to carve into his own flesh: I must not tell lies."
28268,"Nobody seemed to find Scrimgeour's pretense that he did not know Harry's name convincing, or find it natural that he should be chosen to accompany the Minister around the garden when Ginny, Fleur, and George also had clean plates."
28243,"A moment later, Harry had given a loud yell and leapt out of his camp bed; the package contained a large number of maggots."
28202,"It comes down to whether or not you trust Dumbledore's judgment."
28115,"If you were prepared to grant me a few interviews, say in four- or five-hour sessions, why, we could have the book finished within months."
28086,"And sure enough, in no time at all the whole school seemed to know that Harry Potter was taking Luna Lovegood to Slughorn's party."
27998,"It was full of golden potion and the cork was still tightly sealed with wax."
27981,"His shoulder aching, Harry raced after him, de-termined to ram him back. ..."
27940,"The Gryffindor table, a solid mass of red and gold, cheered as Harry and Ron approached."
27924,"Harry spent the day attempting to keep the peace between Ron and Hermione with no success; finally, Hermione departed for bed in high dudgeon, and Ron stalked off to the boys' dormitory after swearing angrily at several frightened first years for looking at him."
27911,"Neither of them mentioned Ginny or Hermione again; indeed, they barely spoke to each other that evening and got into bed in si-lence, each absorbed in his own thoughts, Harry lay awake for a long time, looking up at the canopy of his four-poster and trying to convince himself that his feelings for Ginny were entirely elder-brotherly."
27841,"At once, the prickly vines shot back inside, and the gnarled stump sat there looking like an innocently dead lump of wood."
27840,"One tangled itself in Hermione's hair, and Ron beat it back with a pair of secateurs; Harry succeeded in trapping a couple of vines and knotting them together; a hole opened in the middle of all the tentaclelike branches; Hermione plunged her arm bravely into this hole, which closed like a trap around her elbow; Harry and Ron tugged and wrenched at the vines, forcing the hole to open again, and Hermi-one snatched her arm free, clutching in her fingers a pod just like Neville's."
27751,"After a few seconds Riddle stopped glaring, though he looked, if anything, warier still."
27747,"He was pointing at the door through which Mrs. Cole had just left."
27699,"It was as shabby as the hallway and the furniture was old and mismatched."
27684,"Having reached their side of the street, he strode off along the pavement, drawing many curious glances due to the flamboyantly cut suit of plum velvet that he was wearing."
27649,"There was no buzz of fear or speculation, however: Clearly, the news of Katie's fate had not yet spread."
27626,"Haltingly, and with many pauses while she attempted to control her crying, Leanne told Professor McGonagall how Katie had gone to the bathroom in the Three Broomsticks and returned holding the unmarked package, how Katie had seemed a little odd, and how they had argued about the advisability of agreeing to deliver unknown objects, the argument culminating in the tussle over the parcel, which tore open."
27617,"As they followed Hermione and Leanne up the road, Harry was thinking furiously."
27605,"Hermione hurried over to Katie's wailing friend and put an arm around her."
27599,"Harry looked around; the landscape seemed deserted."
27571,"Harry swore at the top of his voice, spinning on the spot to see where Mundungus had gone."
27511,"He did not usually lie in bed reading his textbooks; that sort of behavior, as Ron rightly said, was indecent in anybody except Hermione, who was simply weird that way."
27486,"We're having a little party, just a few rising stars, I've got McLaggen com-ing and Zabini, the charming Melinda Bobbin  -  I don't know whether you know her?"
27418,"Harry glanced over at Ron, who had always had a problem with nerves; Harry had hoped that winning their final match last term might have cured it, but apparently not: Ron was a delicate shade of green."
27407,"The third group had a pileup halfway around the pitch."
27399,"He pointed over to the edge of the pitch, close to where Hermi-one was sitting."
27394,"His walk instantly became something more like a strut."
27343,"Perhaps she thought he would stay for the baby's sake."
27337,"The shock of her de-sertion may have contributed to his early death  -  or perhaps he had simply never learned to feed himself."
27286,"She then stood quite still, her back against the wall between the filthy window and the stove, as though she wished for nothing more than to sink into the stone and vanish."
27224,"He was reading a wooden signpost that was sticking out of the brambles on the left-hand side of the road."
27118,"It is probably the most dangerous and powerful potion in this room - oh yes,"" he said, nodding gravely at Maifoy and Nott, both of whom were smirking skeptically."
27081,"He, Ron, and Hermione spent the whole of break speculating on what Dumbledore would teach Harry."
27032,"We got so much homework for Runes,"" she said anxiously when Harry and Ron joined her."
27028,"You mustn't start off like that,"" she said warningly."
26989,"Ron snorted loudly, but managed to pass it off as a violent sneeze."
26977,"With the usual deafening scraping noise, the benches moved back and the hundreds of students began to file out of the Great Hall toward their dormitories."
26968,"Harry, Ron, and Hermione were not the only ones who had been talking; the whole Hall had erupted in a buzz of conversation at the news that Snape had finally achieved his heart's desire."
26957,"Whispers it the room; Dumbledore, interpreting them correctly, merely smiled and shook his purple-and-gold sleeve over his injury."
26868,"As though in slow motion, he toppled out of the luggage rack and fell, with an agonizing, floor-shaking crash, at Malfoy's feet, the Invisibility Cloak trapped beneath him, his whole body revealed with his legs still curled absurdly into the cramped kneeling position."
26777,"At a gesture from Slughorn, they sat down opposite each other in the only two empty seats, which were nearest the door."
26732,"Neville bumped his head against the seat as he emerged from under it."
26674,"Maybe he's broken his Hand of Glory"" said Ron vaguely, as he attempted to straighten his broomstick's bent tail twigs."
26673,"She was sitting on the windowsill in Fred and George's room with her feet up on one of the cardboard boxes and had only grudgingly looked up from her new copy of Advanced Rune Translation."
26657,"She checked her hair in the reflection in the glass, then marched into the shop, setting the bell tinkling again."
26576,"Malfoy made an angry movement toward Harry, but stumbled over his overlong robe."
26496,"And the Defense Against the Dark Arts practical was no good at all."
26461,"The door opened again and Mrs. Weasley popped her head in."
26441,"Its all this uncertainty with You-Know-Who coming back, people think they might be dead tomorrow, so they're rushing all sorts of decisions they'd normally take time over."
26210,"The wreckage of a fallen chandelier flittered nearby."
26177,"Ah yes, of course, I haven't told you,"" said Dumbledore."
26152,"This magic will cease to operate the moment that Harry turns seventeen; in other words, at the moment he becomes a man."
26149,"He has known nothing but neglect and often cruelty at your hands."
26087,"Ah, good evening Harry,"" said Dumbledore, looking up at him through his half-moon glasses with a most satisfied expression."
26050,"Nearby, on the floor, lay a purple leaflet emblazoned with the words: - ISSUED ON BEHALF OF - The Ministry of MagicPROTECTING YOUR HOME AND FAMILY AGAINST DARK FORCESThe Wizarding community is currently under threat from an organization calling itself the Death Eaters."
25925,"Why did you stop the Dark Lord procuring the Sorcerer's Stone?"
25860,"Now, about Herbert Chorley, your Junior Minister,"" he continued."
25842,"The Prime Minister sank, weak-kneed, into the nearest chair."
25818,"And he wasn't in league with He-Who-Must-Not-Be-Named either."
25801,"It had not escaped his notice that, despite Fudge's assurances at their first meeting, they were now seeing rather a lot of each other, nor that Fudge was becoming more flustered with each visit."
25787,"The Prime Minister rather resented being told to sit down in his own office, let alone offered his own whiskey, but he sat nevertheless."
25770,"At this, the Prime Minister had found his voice at last."
25725,"A grim mood has gripped the country,"" the opponent had concluded, barely concealing his own broad grin.And unfortunately, this was perfectly true."
25718,"This particular opponent had appeared on the news that very day, not only to enumerate all the terrible things that had happened in the last week (as though anyone needed reminding) but also to explain why each and every one of them was the government's fault."
25688,"As the train slowed down in the approach to King's Cross, Harry thought he had never wanted to leave it less."
25682,"Wanting to impress Cho seemed to belong to a past that was no longer quite connected with him; so much of what he had wanted before Sirius's death felt that way these days . . . the week that had elapsed since he had last seen Sirius seemed to have lasted much, much longer; it stretched across two universes, the one with Sirius in it, and the one without."
25611,"The frustrated face looking back out of the mirror was still, definitely, his own . . ."
25582,"Even though he now understood exactly why he had to return there every summer, he did not feel any better about it."
25421,"I should have recognised that I was too happy to think that I did not have to do it on that particular day . . . you were too young, much too young."
25292,"If I had been open with you, Harry, as I should have been, you would have known a long time ago that Voldemort might try and lure you to the Department of Mysteries, and you would never have been tricked into going there tonight."
25269,"He could see the Quidditch stadium in the distance."
25214,"As Dumbledore pulled him back to his feet, Harry saw the tiny gold statues of the house-elf and the goblin, leading a stunned-looking Cornelius Fudge forward."
25193,"He sent another killing curse at Dumbledore but missed, instead hitting the security guard's desk, which burst into flame."
25175,"Harry roared and, as he shouted it, pain seared across his forehead; his scar was on fire again, and he felt a surge of fury that was quite unconnected with his own rage."
25125,"But as he reached the ground and sprinted towards the dais, Lupin grabbed Harry around the chest, holding him back."
25116,"Harry released Neville, though he was unaware of doing so."
25113,"Harry saw Sirius duck Bellatrix's jet of red light: he was laughing at her."
25084,"The man relinquished Harry at once with a howl of pain."
25064,"Harry's heart sank: Neville was scrambling down the stone benches towards them, Hermione's wand held fast in his trembling hand."
25062,"One was bleeding badly; Dolohov, freed of the Body-Bind Curse, was leering, his wand pointing straight at Harry's face."
25053,"It seemed to have worked; they streaked after him, knocking chairs and tables flying but not daring to bewitch him in case they hurt the prophecy, and he dashed through the only door still open, the one through which the Death Eaters themselves had come; inwardly praying that Neville would stay with Ron and find some way of releasing him."
25046,"The moment they made contact with his skin, the tentacles began wrapping themselves around Ron's arms like ropes."
25009,"Harry fell to his knees beside her as Neville crawled rapidly towards her from under the desk, his wand held up in front of him."
